project_name,file_name,nr_classes,nr_functions,ncls,slc,mlc,nr_of_lines,file_length,regexpsl,line_length,method_length,has_todo,boolean_e_c,cdac,cfoc,ccn,nppathc,javancss,nbugs,nbugs_confirmation
Apache ACE,LogSyncTask.java,2,19,154,5,26,329,0,0,35,0,0,0,1,1,1,0,2,1.0,1.0
Apache ACE,VaadinClient.java,40,117,838,45,33,1394,0,46,160,1,3,0,2,6,4,3,16,2.009901,2.009901
Apache ACE,RepositorySet.java,3,23,178,10,43,343,0,0,29,0,0,0,1,1,2,2,2,0.00990099,0.00990099
Apache ACE,AssociationImpl.java,1,12,108,2,21,250,0,0,49,0,0,0,0,1,2,1,3,0.00990099,0.00990099
Apache ACE,GroupObjectImpl.java,1,12,36,0,18,88,0,0,7,0,0,0,0,1,0,0,0,0.00990099,0.00990099
Apache ACE,ProcessLauncher.java,1,14,101,16,25,318,0,13,41,0,0,0,0,1,0,0,2,0.2,0.2
Apache ACE,FileBasedProvider.java,4,15,180,21,20,375,0,0,69,0,0,0,1,1,4,2,3,0.5,0.5
Apache ACE,AmazonNodeLauncher.java,1,11,141,0,59,282,0,12,36,0,0,0,1,1,0,0,3,2.0,2.0
Apache ACE,MinimalGatewayTest.java,1,2,30,2,18,86,0,1,3,0,0,0,0,0,0,0,0,0.5,0.5
Apache ACE,ProcessManagerImpl.java,2,12,111,17,21,301,0,5,29,0,0,0,0,1,0,0,2,0.2,0.2
Apache ACE,GroupRepositoryImpl.java,1,4,15,0,18,53,0,0,3,0,0,0,0,0,0,0,0,0.00990099,0.00990099
Apache ACE,RepositoryAdminImpl.java,1,32,305,14,27,565,0,0,88,0,0,0,1,1,2,3,5,0.00990099,0.00990099
Apache ACE,WebUIConsoleServlet.java,1,1,11,1,18,40,0,0,2,0,0,0,0,0,0,0,0,1.0,1.0
Apache ACE,CachedRepositoryImpl.java,1,13,63,3,18,141,0,2,17,0,0,0,0,1,0,0,2,0.00990099,0.00990099
Apache ACE,ObjectRepositoryImpl.java,1,20,102,1,19,253,0,0,18,0,0,0,0,1,0,0,2,0.00990099,0.00990099
Apache ACE,RepoPropertyResolver.java,1,6,47,3,0,86,0,8,1,0,0,0,0,1,1,1,0,0.00990099,0.00990099
Apache ACE,RepositoryObjectImpl.java,3,52,283,10,0,588,0,3,52,0,0,0,1,1,2,1,3,1.009901,1.009901
Apache ACE,RepositorySerializer.java,1,6,56,4,18,127,0,0,5,0,0,0,0,1,0,1,1,0.00990099,0.00990099
Apache ACE,AssemblyConfigureTest.java,1,1,7,1,18,37,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5
Apache ACE,DeploymentPackageTask.java,2,11,80,0,18,149,0,7,5,0,0,0,1,1,2,1,3,1.0,1.0
Apache ACE,VaadinResourceHandler.java,2,4,33,2,18,81,0,2,10,0,0,0,0,1,0,0,0,1.0,1.0
Apache ACE,ArtifactRepositoryImpl.java,3,26,284,20,21,574,0,14,88,0,0,1,1,1,5,4,5,0.00990099,0.00990099
Apache ACE,ProcessManagerImplTest.java,1,10,111,27,42,318,0,12,32,0,0,0,0,0,0,0,2,0.2,0.2
Apache ACE,ArtifactPreprocessorBase.java,3,7,76,8,25,180,0,0,26,0,0,0,1,1,1,1,4,0.33333334,0.33333334
Apache ACE,FilebasedBackupRepository.java,1,8,61,0,18,142,0,0,4,0,0,0,0,1,0,0,2,0.00990099,0.00990099
Apache ACE,StatefulGatewayObjectImpl.java,3,67,388,6,28,716,0,0,65,0,0,0,1,1,2,2,5,0.00990099,0.00990099
Apache ACE,VelocityArtifactPreprocessor.java,1,11,117,14,18,245,0,0,21,0,0,0,1,1,0,0,2,0.34323433,0.34323433
Apache ACE,StatefulGatewayRepositoryImpl.java,2,31,312,24,32,663,0,0,90,0,3,0,1,1,4,3,4,0.00990099,0.00990099
Apache ACE,VelocityArtifactPreprocessorTest.java,3,14,89,14,18,204,0,17,13,0,0,0,0,1,0,0,2,0.33333334,0.33333334
Apache CXF,Get.java,1,3,71,4,18,117,0,2,5,0,0,0,0,1,0,0,3,1.0184268,1.0184268
Apache CXF,Zoo.java,1,6,18,0,18,51,0,2,0,0,0,0,0,0,0,0,0,0.14358975,0.14358975
Apache CXF,Echo.java,1,1,4,0,18,26,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
Apache CXF,Team.java,1,6,16,0,18,49,0,3,0,0,0,0,0,0,0,0,0,0.04347826,0.04347826
Apache CXF,Claim.java,1,13,47,0,21,105,0,2,0,0,0,0,0,0,0,0,1,0.25,0.25
Apache CXF,Dummy.java,1,1,6,0,18,32,0,0,0,0,0,0,0,0,0,0,0,0.8333333,0.8333333
Apache CXF,Fault.java,1,20,76,0,18,164,0,12,3,0,0,0,0,0,0,0,2,0.4,0.4
Apache CXF,Money.java,1,2,8,0,18,34,0,1,0,0,0,0,0,0,0,0,0,0.16666667,0.16666667
Apache CXF,Outer.java,1,15,41,3,49,207,0,11,0,0,0,0,0,0,0,0,0,0.2,0.2
Apache CXF,SayHi.java,1,2,7,0,18,45,0,0,0,0,0,0,0,0,0,0,0,0.4071584,0.4071584
Apache CXF,Animal.java,1,2,7,0,18,31,0,0,0,0,0,0,0,0,0,0,0,0.14358975,0.14358975
Apache CXF,Common.java,1,2,11,0,18,38,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5
Apache CXF,Cookie.java,1,12,73,1,18,212,0,11,4,0,0,0,0,0,2,1,3,0.5,0.5
Apache CXF,MyEnum.java,1,0,2,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
Apache CXF,PingMe.java,1,0,6,0,0,35,0,4,1,0,0,0,0,0,0,0,0,0.21023965,0.21023965
Apache CXF,Chapter.java,1,5,19,0,18,59,0,3,0,0,0,0,0,0,0,0,0,0.125,0.125
Apache CXF,CxfTest.java,1,1,4,0,18,27,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
Apache CXF,GreetMe.java,1,2,12,0,0,64,0,8,2,0,0,0,0,0,0,0,0,0.28166822,0.28166822
Apache CXF,Greeter.java,1,1,3,0,18,23,0,1,0,0,0,0,0,0,0,0,0,1.2511127,1.2511127
Apache CXF,Handler.java,2,3,19,0,18,54,0,0,3,0,0,0,0,0,0,0,0,0.27457264,0.27457264
Apache CXF,MapTest.java,1,7,12,0,18,43,0,4,0,0,0,0,0,0,0,0,0,0.083333336,0.083333336
Apache CXF,Product.java,1,4,13,0,18,43,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25
Apache CXF,Servant.java,1,9,159,18,26,292,0,47,26,0,0,0,0,1,3,2,4,0.035714287,0.035714287
Apache CXF,Wrapper.java,1,22,149,0,18,241,0,6,8,0,0,0,1,1,1,1,3,0.055555556,0.055555556
Apache CXF,BeanTest.java,13,40,499,18,18,782,0,5,24,0,0,0,1,1,1,1,11,0.33333334,0.33333334
Apache CXF,BeanType.java,1,30,383,19,54,793,0,2,73,0,0,1,1,1,6,5,6,1.3333334,1.3333334
Apache CXF,DOMUtils.java,2,45,364,15,18,727,0,15,43,0,0,0,1,1,9,4,2,2.3818183,2.3818183
Apache CXF,EchoImpl.java,1,1,5,0,18,36,0,1,0,0,0,0,0,0,0,0,0,0.4,0.4
Apache CXF,IDLLexer.java,1,60,1684,5,0,1951,0,119,150,3,0,12,1,1,15,9,18,0.07323232,0.07323232
