@relation 'final_with_weka_header-weka.filters.unsupervised.attribute.Remove-R1-2,21-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9,11-12,17'

@attribute ncls numeric
@attribute slc numeric
@attribute regexpsl numeric
@attribute method_length numeric
@attribute cdac numeric
@attribute cfoc numeric
@attribute ccn numeric
@attribute nppathc numeric
@attribute nbug1 numeric

@data
154,5,0,0,1,1,1,0,1
838,45,46,1,2,6,4,3,2.009901
178,10,0,0,1,1,2,2,0.009901
108,2,0,0,0,1,2,1,0.009901
36,0,0,0,0,1,0,0,0.009901
101,16,13,0,0,1,0,0,0.2
180,21,0,0,1,1,4,2,0.5
141,0,12,0,1,1,0,0,2
30,2,1,0,0,0,0,0,0.5
111,17,5,0,0,1,0,0,0.2
15,0,0,0,0,0,0,0,0.009901
305,14,0,0,1,1,2,3,0.009901
11,1,0,0,0,0,0,0,1
63,3,2,0,0,1,0,0,0.009901
102,1,0,0,0,1,0,0,0.009901
47,3,8,0,0,1,1,1,0.009901
283,10,3,0,1,1,2,1,1.009901
56,4,0,0,0,1,0,1,0.009901
7,1,1,0,0,0,0,0,0.5
80,0,7,0,1,1,2,1,1
33,2,2,0,0,1,0,0,1
284,20,14,0,1,1,5,4,0.009901
111,27,12,0,0,0,0,0,0.2
76,8,0,0,1,1,1,1,0.333333
61,0,0,0,0,1,0,0,0.009901
388,6,0,0,1,1,2,2,0.009901
117,14,0,0,1,1,0,0,0.343234
312,24,0,0,1,1,4,3,0.009901
89,14,17,0,0,1,0,0,0.333333
71,4,2,0,0,1,0,0,1.018427
18,0,2,0,0,0,0,0,0.14359
4,0,0,0,0,0,0,0,0.2
16,0,3,0,0,0,0,0,0.043478
47,0,2,0,0,0,0,0,0.25
6,0,0,0,0,0,0,0,0.833333
76,0,12,0,0,0,0,0,0.4
8,0,1,0,0,0,0,0,0.166667
41,3,11,0,0,0,0,0,0.2
7,0,0,0,0,0,0,0,0.407158
7,0,0,0,0,0,0,0,0.14359
11,0,0,0,0,0,0,0,0.5
73,1,11,0,0,0,2,1,0.5
2,0,0,0,0,0,0,0,0.2
6,0,4,0,0,0,0,0,0.21024
19,0,3,0,0,0,0,0,0.125
4,0,0,0,0,0,0,0,1
12,0,8,0,0,0,0,0,0.281668
3,0,1,0,0,0,0,0,1.251113
19,0,0,0,0,0,0,0,0.274573
12,0,4,0,0,0,0,0,0.083333
13,0,0,0,0,0,0,0,0.25
159,18,47,0,0,1,3,2,0.035714
149,0,6,0,1,1,1,1,0.055556
499,18,5,0,1,1,1,1,0.333333
383,19,2,0,1,1,6,5,1.333333
364,15,15,0,1,1,9,4,2.381818
5,0,1,0,0,0,0,0,0.4
1684,5,119,3,1,1,15,9,0.073232
197,8,4,0,1,1,4,3,0.0625
336,16,109,1,1,1,8,2,0.25
63,3,14,0,0,1,0,0,0.083333
60,0,11,0,0,1,0,0,0.062261
43,5,1,0,1,1,0,0,0.055556
70,12,8,0,0,1,0,0,0.259259
11,0,0,0,0,0,0,0,0.125
83,3,10,0,0,1,0,0,0.037037
151,8,28,0,1,1,2,1,0.1
70,2,17,0,0,1,0,0,0.125392
74,2,36,0,0,1,0,0,0.645833
32,4,2,0,0,0,0,0,0.333333
108,3,15,0,0,1,3,2,0.037037
42,0,6,0,0,1,0,0,0.333333
4,1,0,0,0,0,0,0,0.5
65,0,9,0,0,1,0,0,0.055556
189,4,53,0,0,1,2,1,1
4775,156,507,1,0,1,61,6,0.027778
120,0,9,0,1,1,3,2,0.2
487,12,84,0,1,2,8,7,0.5
12,0,5,0,0,0,0,0,2.611111
107,6,18,0,1,1,1,0,0.2
4,0,0,0,0,0,0,0,0.280018
31,0,1,0,0,1,0,0,0.010989
76,0,1,0,0,1,1,1,0.111111
393,7,127,0,1,1,8,9,1
609,6,9,0,1,1,6,5,1
12,2,1,0,0,0,0,0,0.590909
92,1,12,0,0,1,1,2,0.055556
373,7,17,0,0,1,9,5,6.045253
219,2,80,0,1,2,0,0,1.392857
24,0,3,0,0,0,0,0,0.034483
8,0,0,0,0,0,0,0,0.558824
11,0,1,0,0,0,0,0,1
116,2,40,0,0,1,2,2,0.522222
163,4,20,0,0,1,1,3,0.5
85,7,8,0,0,1,2,2,1.038462
69,5,17,0,0,1,0,0,0.25
