Project	File Name	data	bugs
Apache ACE	LogSyncTask.java	(2,19,154,5,26)	1.0
Apache ACE	VaadinClient.java	(40,117,838,45,33)	2.009901
Apache ACE	RepositorySet.java	(3,23,178,10,43)	0.00990099
Apache ACE	AssociationImpl.java	(1,12,108,2,21)	0.00990099
Apache ACE	GroupObjectImpl.java	(1,12,36,0,18)	0.00990099
Apache ACE	ProcessLauncher.java	(1,14,101,16,25)	0.2
Apache ACE	FileBasedProvider.java	(4,15,180,21,20)	0.5
Apache ACE	AmazonNodeLauncher.java	(1,11,141,0,59)	2.0
Apache ACE	MinimalGatewayTest.java	(1,2,30,2,18)	0.5
Apache ACE	ProcessManagerImpl.java	(2,12,111,17,21)	0.2
Apache ACE	GroupRepositoryImpl.java	(1,4,15,0,18)	0.00990099
Apache ACE	RepositoryAdminImpl.java	(1,32,305,14,27)	0.00990099
Apache ACE	WebUIConsoleServlet.java	(1,1,11,1,18)	1.0
Apache ACE	CachedRepositoryImpl.java	(1,13,63,3,18)	0.00990099
Apache ACE	ObjectRepositoryImpl.java	(1,20,102,1,19)	0.00990099
Apache ACE	RepoPropertyResolver.java	(1,6,47,3,0)	0.00990099
Apache ACE	RepositoryObjectImpl.java	(3,52,283,10,0)	1.009901
Apache ACE	RepositorySerializer.java	(1,6,56,4,18)	0.00990099
Apache ACE	AssemblyConfigureTest.java	(1,1,7,1,18)	0.5
Apache ACE	DeploymentPackageTask.java	(2,11,80,0,18)	1.0
Apache ACE	VaadinResourceHandler.java	(2,4,33,2,18)	1.0
Apache ACE	ArtifactRepositoryImpl.java	(3,26,284,20,21)	0.00990099
Apache ACE	ProcessManagerImplTest.java	(1,10,111,27,42)	0.2
Apache ACE	ArtifactPreprocessorBase.java	(3,7,76,8,25)	0.33333334
Apache ACE	FilebasedBackupRepository.java	(1,8,61,0,18)	0.00990099
Apache ACE	StatefulGatewayObjectImpl.java	(3,67,388,6,28)	0.00990099
Apache ACE	VelocityArtifactPreprocessor.java	(1,11,117,14,18)	0.34323433
Apache ACE	StatefulGatewayRepositoryImpl.java	(2,31,312,24,32)	0.00990099
Apache ACE	VelocityArtifactPreprocessorTest.java	(3,14,89,14,18)	0.33333334
Apache ODE	Copy.java	(1,7,17,0,18)	0.33333334
Apache ODE	OBase.java	(1,8,38,0,19)	0.125
Apache ODE	REPLY.java	(1,2,33,3,18)	0.5
Apache ODE	ASSIGN.java	(2,26,441,32,18)	1.5333333
Apache ODE	INVOKE.java	(7,17,161,18,19)	1.089527
Apache ODE	OScope.java	(3,16,108,0,21)	0.125
Apache ODE	OAssign.java	(11,33,126,1,18)	0.45833334
Apache ODE	JacobVPU.java	(2,26,235,5,35)	0.089527026
Apache ODE	OProcess.java	(4,22,116,3,22)	0.125
Apache ODE	ODEServer.java	(5,43,479,12,24)	1.1204545
Apache ODE	XPathTest.java	(2,43,145,9,18)	0.09090909
Apache ODE	BpelServer.java	(1,13,16,0,18)	0.25
Apache ODE	ODEProcess.java	(12,76,725,51,37)	1.2
Apache ODE	ODEService.java	(1,13,249,16,18)	1.027027
Apache ODE	OdeContext.java	(1,18,185,1,19)	0.5
Apache ODE	OpenJPADAO.java	(1,4,36,0,18)	0.055555556
Apache ODE	BpelProcess.java	(8,74,645,66,26)	1.714527
Apache ODE	MexProperty.java	(1,6,33,0,18)	0.055555556
Apache ODE	WSAEndpoint.java	(1,14,153,7,18)	0.0625
Apache ODE	BpelCompiler.java	(12,102,1139,42,22)	0.16783217
Apache ODE	DOMUtilsTest.java	(2,7,54,1,18)	2.5
Apache ODE	EventDAOImpl.java	(1,16,55,0,19)	0.055555556
Apache ODE	FaultDAOImpl.java	(1,7,41,0,18)	0.055555556
Apache ODE	JdbcDelegate.java	(1,16,313,13,18)	3.0
Apache ODE	ScopeDAOImpl.java	(1,18,99,6,18)	0.055555556
Apache ODE	JaxenContexts.java	(5,7,221,10,19)	0.36783215
Apache ODE	BpelEngineImpl.java	(2,42,435,37,20)	0.21452703
Apache ODE	BpelServerImpl.java	(10,53,362,24,30)	0.46452704
Apache ODE	ODEAxisService.java	(1,5,83,5,18)	1.5454545
Apache ODE	ODEAxisServlet.java	(1,6,30,1,18)	0.045454547
Apache ODE	ProcessDAOImpl.java	(1,15,75,1,18)	0.055555556
Apache ODE	XmlDataDAOImpl.java	(1,11,87,3,18)	0.055555556
Apache ODE	AssignGenerator.java	(1,7,178,6,18)	0.33333334
Apache ODE	CompilerContext.java	(1,33,57,0,18)	0.16783217
Apache ODE	CorrSetProperty.java	(1,8,36,0,18)	0.055555556
Apache ODE	InvokeGenerator.java	(4,6,78,15,18)	1.0
Apache ODE	ProcessConfImpl.java	(4,44,341,46,18)	1.7
Apache ODE	SimpleScheduler.java	(17,62,508,49,35)	0.089527026
Apache ODE	XmlDataProperty.java	(1,6,29,0,18)	0.055555556
Apache ODE	BpelCompilerImpl.java	(12,100,1110,44,22)	0.09090909
Apache ODE	HMessageExchange.java	(1,45,119,0,18)	0.055555556
Apache ODE	JaxenBpelHandler.java	(1,10,130,4,18)	0.16783217
Apache ODE	ProcessStoreImpl.java	(12,54,479,26,28)	0.25
Apache ODE	BpelDAOConnection.java	(1,17,28,0,18)	0.2
Apache ODE	BpelJacobRunnable.java	(1,8,48,3,18)	0.5
Apache ODE	CorrelationKeySet.java	(2,18,174,9,18)	0.5
Apache ODE	ManagementService.java	(2,6,96,1,18)	0.045454547
Apache ODE	BindingContextImpl.java	(2,9,44,1,18)	1.0
Apache ODE	ODEMessageReceiver.java	(1,4,46,2,18)	0.027027028
Apache ODE	PartnerLinkDAOImpl.java	(1,17,81,0,18)	0.055555556
Apache ODE	MessageExchangeImpl.java	(1,35,133,4,18)	0.2
Apache ODE	MessageRouteDAOImpl.java	(1,11,54,0,18)	0.055555556
Apache ODE	MockCompilerContext.java	(1,32,98,24,18)	0.09090909
Apache ODE	SoapExternalService.java	(9,27,366,43,22)	1.589527
Apache ODE	XslTransformHandler.java	(1,8,88,1,18)	0.16783217
Apache ODE	DeploymentWebService.java	(2,7,198,10,18)	5.0
Apache ODE	JaxpFunctionResolver.java	(17,18,185,1,18)	0.36783215
Apache ODE	BPELDAOConnectionImpl.java	(1,22,219,24,18)	0.2
Apache ODE	BpelDAOConnectionImpl.java	(6,32,259,22,18)	0.7
Apache ODE	CorrelationKeySetTest.java	(1,5,109,0,18)	0.5
Apache ODE	CorrelationSetDAOImpl.java	(1,10,65,0,18)	0.055555556
Apache ODE	DefaultResourceFinder.java	(1,8,75,2,18)	0.16783217
Apache ODE	PartnerLinkMyRoleImpl.java	(2,13,225,27,18)	0.089527026
Apache ODE	XslCompileUriResolver.java	(1,2,19,0,18)	0.07692308
Apache ODE	XslRuntimeUriResolver.java	(1,2,17,0,18)	0.07692308
Apache ODE	BpelRuntimeContextImpl.java	(9,89,888,75,24)	0.089527026
Apache ODE	CompilationMessageTest.java	(1,6,68,1,18)	0.5
Apache ODE	CorrelationJoinHibTest.java	(1,1,4,0,18)	0.2
Apache ODE	MessageExchangeDAOImpl.java	(1,54,157,1,18)	0.055555556
Apache ODE	MessageExchangeDaoImpl.java	(1,52,222,4,18)	0.5
Apache ODE	ProcessInstanceDAOImpl.java	(1,45,211,17,18)	0.055555556
Apache ODE	ProcessInstanceDaoImpl.java	(2,44,322,14,19)	0.055555556
Apache ODE	ActivityRecoveryDAOImpl.java	(1,12,69,1,18)	0.055555556
Apache ODE	CorrelationMultiHibTest.java	(1,1,4,0,18)	0.2
Apache ODE	HMessageExchangeProperty.java	(1,11,26,4,18)	1.0
Apache ODE	ExprEvaluationContextImpl.java	(1,17,79,1,18)	0.2
Apache ODE	MyRoleMessageExchangeImpl.java	(4,25,180,3,18)	0.027027028
Apache ODE	CorrelationJoinLazyHibTest.java	(1,1,4,0,18)	0.2
Apache ODE	MessageExchangeContextImpl.java	(1,3,21,0,18)	0.089527026
Apache ODE	BPELDAOConnectionFactoryImpl.java	(5,33,126,5,18)	0.055555556
Apache Pig	ABS.java	(1,3,32,0,20)	0.023809524
Apache Pig	AVG.java	(4,15,179,17,21)	0.29944637
Apache Pig	Add.java	(1,9,87,0,20)	0.29036176
Apache Pig	COR.java	(4,15,199,9,47)	1.0238096
Apache Pig	COS.java	(1,1,4,0,17)	0.023809524
Apache Pig	COV.java	(4,15,175,8,17)	0.023809524
Apache Pig	EXP.java	(1,1,4,0,45)	0.023809524
Apache Pig	LOG.java	(1,1,4,0,17)	0.023809524
Apache Pig	MAX.java	(3,4,25,0,20)	0.60897017
Apache Pig	MIN.java	(4,14,143,12,22)	0.60897017
Apache Pig	Mod.java	(1,7,55,0,20)	0.29036176
